name,hex,Traditional Chinese name
Biǎnqīng,#509196,扁青
Bànjiàn,#fffbc7,半見
Báiqīng,#98b6c2,白青
Bìchéng,#12507b,碧城
Bìluò,#aed0ee,碧羅
Bìshān,#779649,碧山
Bìzī,#90a07d,碧滋
Bùzào,#a7aaa1,不皂
Bīngtái,#becab7,冰台
Chángchūn,#dc6b82,長春
Chásè,#887657,茶色
Chénxiāng,#99806c,沉香
Chìlíng,#954024,赤靈
Chìtí,#ba5b49,赤緹
Chìzhāng,#e1c199,赤璋
Chúnzhī,#c25160,唇脂
Chāngróng,#dcc7e1,昌榮
Chēngwěi,#ef845d,赬尾
Chēngxiá,#f18f60,赬霞
Chēngzǐ,#8a1874,赬紫
Chīyóuqí,#a85858,蚩尤旗
Chūnbì,#9d9d82,春碧
Chūnchén,#a9be7b,春晨
Chūxiù,#a9a773,出岫
Cuìpiǎo,#b7d332,翠縹
Cuìqiú,#446a37,翠虯
Cuìtāo,#819d8e,翠濤
Cuìwēi,#4c8045,翠微
Cuìzūn,#cdd171,翠樽
Cíhuáng,#b4884d,雌黃
Címì,#bfc096,瓷秘
Cíní,#cf929e,雌霓
Cāng'ài,#5a4b3b,蒼艾
Cāngcāng,#5976ba,蒼蒼
Cānghuáng,#b6a014,蒼黃
Cāngjiā,#a8bf8f,蒼葭
Cānglàng,#b1d5c8,滄浪
Cāngláng,#99bcac,蒼筤
Cāngyānluòzhào,#c8b5b3,蒼煙落照
Cōngjiè,#88bfb8,蔥轄
Cōngqiàn,#6c8650,蔥倩
Cōngqīng,#edf1bb,蔥青
Cǎnzǐ,#cc73a0,黲紫
Cǎobái,#bfc1a9,草白
Duàncháng,#ecebc2,斷腸
Dàchì,#aa9649,大赤
Dàizhě,#dd6b4f,岱赭
Dàkuài,#bfa782,大塊
Dàosè,#226b68,䌦色
Dàrán,#822327,大繎
Dàyún,#94784f,大雲
Dìlài,#dfceb4,地籟
Dìshìqīng,#003460,帝釋青
Dìxuè,#814662,地血
Dòngpiǎo,#bec2b3,凍縹
Dānjì,#e60012,丹罽
Dānshú,#873424,丹秫
Dānwò,#c8161d,丹雘
Dīngxiāng,#ce93bf,丁香
Dīngxiānghè,#bd9683,丁香褐
Dōngfāngjìbái,#8ba3c7,東方既白
Fóchì,#8f3d2c,佛赤
Fótóuqīng,#19325f,佛頭青
Fúguāng,#f0c2a2,扶光
Fúkěnhóng,#ecd9c7,弗肯紅
Fúsè,#662b2f,福色
Fúzǐmián,#7e527f,拂紫綿
Fēngrùsōng,#868c4e,風入松
Fěnmǐ,#efc4ce,粉米
Fǎcuì,#108b96,法翠
Guāngmíngshā,#cc5d20,光明砂
Guānlǜ,#2a6e3f,官綠
Gàndié,#2c2f3b,紺蝶
Gànyǔ,#003d74,紺宇
Gānshí,#bdb2b2,甘石
Gǎoyǔ,#efefef,縞羽
Gǔpiǎo,#ebe3c7,骨縹
Huángbáiyóu,#fff799,黃白遊
Huángbùlǎo,#db9b34,黃不老
Huángcóng,#9e8c6b,黃琮
Huángdān,#ea5514,黃丹
Huángfēng,#cab272,黃封
Huánghéliúlí,#e5a84b,黃河琉璃
Huángliáng,#c4b798,黃粱
Huángliú,#9f6027,黃流
Huángluó,#b4a379,黃螺
Huánglìliú,#fedc5e,黃栗留
